SYMBOL,EXPIRY,STRIKE_PRICE,OPTION_TYPE,UNDERLYING_VALUE,LTP,bid,ask,mid_price,IV,OI,volume,timestamp,maturity,source
NIFTY,2026-06-02,19700.0,call,24000.0,4341.761469735237,4243.207802458161,4405.876665969659,4324.54223421391,0.22837876953543762,7362,10195,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live
NIFTY,2026-06-02,19700.0,put,24000.0,0.05,0.05,0.2500000174515565,0.15000000872577823,0.22837876953543762,2110,19497,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live
NIFTY,2026-06-02,20200.0,call,24000.0,3845.0739102193543,3760.4133434931505,3889.916925111414,3825.1651343022822,0.22077452357432104,93019,17127,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live
NIFTY,2026-06-02,20200.0,put,24000.0,0.05,0.05,0.25000076073289945,0.15000038036644972,0.22077452357432104,93341,10975,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live
NIFTY,2026-06-02,20750.0,call,24000.0,3259.9892738797985,3226.9973832720016,3324.703346855863,3275.8503650639323,0.21339149890279824,56172,15691,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live
NIFTY,2026-06-02,20750.0,put,24000.0,0.0537620764232347,0.05,0.25004224278716985,0.15002112139358492,0.21339149890279824,54815,6395,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live
NIFTY,2026-06-02,21300.0,call,24000.0,2734.8176478388264,2691.225916918003,2761.848723793141,2726.537320355572,0.2069645717072913,113018,16077,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live
NIFTY,2026-06-02,21300.0,put,24000.0,0.1096561063707912,0.05,0.2518082548312856,0.1509041274156428,0.2069645717072913,56787,6955,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live
NIFTY,2026-06-02,21850.0,call,24000.0,2171.951072644003,2153.239200450219,2201.308918488444,2177.2740594693314,0.20142578278837253,45562,3194,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live
NIFTY,2026-06-02,21850.0,put,24000.0,0.1123214541001972,0.05,0.3033580889937042,0.1766790444968521,0.20142578278837253,99063,4040,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live
NIFTY,2026-06-02,22400.0,call,24000.0,1631.7982274585831,1613.951319094187,1643.839810972051,1628.895565033119,0.1967131853599645,83961,2214,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live
NIFTY,2026-06-02,22400.0,put,24000.0,1.0699161938299862,0.7396743731826234,1.2396743731826234,0.9896743731826234,0.1967131853599645,106164,20640,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live
NIFTY,2026-06-02,22900.0,call,24000.0,1137.5625414101335,1128.895223634879,1145.999632521393,1137.447428078136,0.19309823976553991,6845,459,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live
NIFTY,2026-06-02,22900.0,put,24000.0,8.81722943458148,8.668638073113584,9.168638073113584,8.918638073113584,0.19309823976553991,47544,15937,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live
NIFTY,2026-06-02,23450.0,call,24000.0,641.1104563128793,634.834489891054,642.1628586281337,638.4986742595938,0.18980982965659407,31141,1368,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live
NIFTY,2026-06-02,23450.0,put,24000.0,59.35452823896815,58.9444749222522,59.624915027700695,59.284694974976446,0.18980982965659407,6257,3332,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live
NIFTY,2026-06-02,24000.0,call,24000.0,263.34123832130143,262.23212495969074,264.338407087881,263.2852660237859,0.18719588923746108,37570,21450,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live
NIFTY,2026-06-02,24000.0,put,24000.0,233.23951744184689,232.45255306973536,234.31964184941194,233.38609745957365,0.18719588923746108,104545,8101,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live
