,symbol,expiry,strike,option_type,underlying_price,last_price,bid,ask,mid_price,implied_volatility,open_interest,volume,timestamp,maturity,source,moneyness,bs_price_with_market_iv
0,NIFTY,2026-06-02,19700.0,call,24000.0,4341.761469735237,4243.207802458161,4405.876665969659,4324.54223421391,0.2283787695354376,7362,10195,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live,0.8208333333333333,4321.038073548731
2,NIFTY,2026-06-02,20200.0,call,24000.0,3845.0739102193543,3760.4133434931505,3889.916925111414,3825.1651343022822,0.220774523574321,93019,17127,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live,0.8416666666666667,3821.572034849036
4,NIFTY,2026-06-02,20750.0,call,24000.0,3259.9892738797985,3226.9973832720016,3324.703346855863,3275.8503650639323,0.2133914989027982,56172,15691,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live,0.8645833333333334,3272.1593967080007
6,NIFTY,2026-06-02,21300.0,call,24000.0,2734.8176478388264,2691.225916918003,2761.848723793141,2726.537320355572,0.2069645717072913,113018,16077,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live,0.8875,2722.7470950865318
8,NIFTY,2026-06-02,21850.0,call,24000.0,2171.951072644003,2153.239200450219,2201.308918488444,2177.2740594693314,0.2014257827883725,45562,3194,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live,0.9104166666666667,2173.35106383904
10,NIFTY,2026-06-02,22400.0,call,24000.0,1631.7982274585831,1613.951319094187,1643.839810972051,1628.895565033119,0.1967131853599645,83961,2214,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live,0.9333333333333333,1624.4004264808573
12,NIFTY,2026-06-02,22900.0,call,24000.0,1137.5625414101337,1128.895223634879,1145.999632521393,1137.447428078136,0.1930982397655399,6845,459,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live,0.9541666666666667,1130.258195833183
14,NIFTY,2026-06-02,23450.0,call,24000.0,641.1104563128793,634.834489891054,642.1628586281337,638.4986742595938,0.189809829656594,31141,1368,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live,0.9770833333333333,623.4326298149717
16,NIFTY,2026-06-02,24000.0,call,24000.0,263.34123832130143,262.23212495969074,264.338407087881,263.2852660237859,0.187195889237461,37570,21450,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live,1.0,242.71270114500294
18,NIFTY,2026-06-02,24550.0,call,24000.0,70.34328167013098,69.91242308431086,70.71390198207243,70.31316253319164,0.1852124491738969,18643,190,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live,1.0229166666666667,56.89036535767082
20,NIFTY,2026-06-02,25100.0,call,24000.0,11.137410008886578,10.852974487397889,11.352974487397889,11.102974487397889,0.183819050464646,63418,377,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live,1.0458333333333334,7.155973624955891
22,NIFTY,2026-06-02,25600.0,call,24000.0,1.2999931131875844,1.020090703526023,1.520090703526023,1.270090703526023,0.1830329085145475,24310,16033,2026-05-26 15:30:00,0.01643835616438356,synthetic_indian_market_not_live,1.0666666666666667,0.6069793225696287
