,symbol,strike,maturity,moneyness,implied_volatility
0,NIFTY,19700.0,0.01643835616438356,0.8208333333333333,0.2283787695354376
2,NIFTY,20200.0,0.01643835616438356,0.8416666666666667,0.220774523574321
4,NIFTY,20750.0,0.01643835616438356,0.8645833333333334,0.2133914989027982
6,NIFTY,21300.0,0.01643835616438356,0.8875,0.2069645717072913
8,NIFTY,21850.0,0.01643835616438356,0.9104166666666667,0.2014257827883725
10,NIFTY,22400.0,0.01643835616438356,0.9333333333333333,0.1967131853599645
12,NIFTY,22900.0,0.01643835616438356,0.9541666666666667,0.1930982397655399
14,NIFTY,23450.0,0.01643835616438356,0.9770833333333333,0.189809829656594
16,NIFTY,24000.0,0.01643835616438356,1.0,0.187195889237461
18,NIFTY,24550.0,0.01643835616438356,1.0229166666666667,0.1852124491738969
20,NIFTY,25100.0,0.01643835616438356,1.0458333333333334,0.183819050464646
22,NIFTY,25600.0,0.01643835616438356,1.0666666666666667,0.1830329085145475
24,NIFTY,26150.0,0.01643835616438356,1.0895833333333333,0.1826648173251855
26,NIFTY,26700.0,0.01643835616438356,1.1125,0.1827860153166909
28,NIFTY,27250.0,0.01643835616438356,1.1354166666666667,0.1833668269607375
30,NIFTY,27800.0,0.01643835616438356,1.1583333333333334,0.1843797405564235
32,NIFTY,28300.0,0.01643835616438356,1.1791666666666667,0.1856540094236405
34,NIFTY,19700.0,0.03561643835616438,0.8208333333333333,0.2313594044509286
36,NIFTY,20200.0,0.03561643835616438,0.8416666666666667,0.223755158489812
38,NIFTY,20750.0,0.03561643835616438,0.8645833333333334,0.2163721338182892
40,NIFTY,21300.0,0.03561643835616438,0.8875,0.2099452066227822
42,NIFTY,21850.0,0.03561643835616438,0.9104166666666667,0.2044064177038635
44,NIFTY,22400.0,0.03561643835616438,0.9333333333333333,0.1996938202754554
46,NIFTY,22900.0,0.03561643835616438,0.9541666666666667,0.1960788746810308
48,NIFTY,23450.0,0.03561643835616438,0.9770833333333333,0.192790464572085
50,NIFTY,24000.0,0.03561643835616438,1.0,0.190176524152952
52,NIFTY,24550.0,0.03561643835616438,1.0229166666666667,0.1881930840893879
54,NIFTY,25100.0,0.03561643835616438,1.0458333333333334,0.186799685380137
56,NIFTY,25600.0,0.03561643835616438,1.0666666666666667,0.1860135434300385
58,NIFTY,26150.0,0.03561643835616438,1.0895833333333333,0.1856454522406765
60,NIFTY,26700.0,0.03561643835616438,1.1125,0.1857666502321818
62,NIFTY,27250.0,0.03561643835616438,1.1354166666666667,0.1863474618762285
64,NIFTY,27800.0,0.03561643835616438,1.1583333333333334,0.1873603754719145
66,NIFTY,28300.0,0.03561643835616438,1.1791666666666667,0.1886346443391315
68,NIFTY,19700.0,0.07945205479452055,0.8208333333333333,0.2360797862928191
70,NIFTY,20200.0,0.07945205479452055,0.8416666666666667,0.2284755403317025
72,NIFTY,20750.0,0.07945205479452055,0.8645833333333334,0.2210925156601797
74,NIFTY,21300.0,0.07945205479452055,0.8875,0.2146655884646728
76,NIFTY,21850.0,0.07945205479452055,0.9104166666666667,0.209126799545754
78,NIFTY,22400.0,0.07945205479452055,0.9333333333333333,0.204414202117346
